说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
31,C,计算机病毒是指（ ）,编制有错误的计算机程序,设计不完善的计算机程序,计算机的程序已被破坏,以危害系统为目的的特殊的计算机程序,D,0
32,C,"在计算机应用中，""计算机辅助设计""的英文缩写为（ ）",CAD,CAM,CAE,CAT,A,1
33,C,在微型计算机存储器中，不能用指令修改其存储内容的部分是（ ）,RAM,DRAM,ROM,SRAM,C,1
34,C,下列设备中，不属于手持设备的是（    ）,笔记本电脑,掌上电脑,PDA,智能手机,A,1
35,C,"下列几种存储器中,存取周期最短的是 （ ）",内存储器,光盘存储器,硬盘存储器,高速缓冲存储器,D,1
36,C,微型计算机键盘上的Shift键称为（ ）,回车换行键,退格键,换档键,空格键,C,1
37,C,下列四种设备中，属于计算机输入设备的是（ ）,UPS,服务器,绘图仪,鼠标器,D,0
38,C,微型计算机键盘上的Tab键是（ ）,退格键,控制键,交替换档键,制表定位键,D,0
39,C,下列四种软件中，属于系统软件的是（ ）,WPS,Word,DOS,Excel,C,0
40,C,“计算机辅助制造”的常用英文缩写是（ ）,CAD,CAI,CAT,CAM,D,1
41,C,微型计算机中内存储器比外存储器（ ）,读写速度快,存储容量大,运算速度慢,以上三种都可以,A,0
42,C,第一台电子计算机使用的逻辑部件是（ ）,集成电路,大规模集成电路,晶体管,电子管,D,0
43,C,微型计算机使用的键盘上的Alt键称为（ ）,控制键,上档键,退格键,交替换档键,D,1
44,C,下列设备中，多媒体计算机所特有的设备是（     ）,打印机,视频卡,鼠标器,键盘,B,0
45,C,下列各组设备中，全部属于输入设备的一组是（ ）,键盘、磁盘和打印机,键盘、扫描仪和鼠标,键盘、鼠标和显示器,硬盘、打印机和键盘,B,0
46,C,CAD软件可用来绘制（ ）,机械零件图,建筑设计图,服装设计图,以上都对,D,1
47,C,下列存储器中存取速度最快的是（ ）,内存,硬盘,光盘,软盘,A,0
48,C,以下操作系统中，不是网络操作系统的是（ ）,MS-DOS,Windows 7,Windows NT,Novell,A,1
49,C,在微机中，1MB的准确含义是（ ）,1024*1024个字,1024*1024个字节,1000*1000个字节,1000*1000个字,B,1
50,C,在微型计算机中，通常所说的80586指的是（ ）,产品型号,主频速度,微机系统名称,中央处理器(CPU)的型号,D,1
51,C,通常人们所说的一个完整的计算机系统应该包括（ ）,主机、键盘和显示器,系统软件和应用软件,主机和它的外部设备,硬件系统和软件系统,D,0
52,C,计算机系统开机的顺序是（ ）,开主机再开外设,开显示器再开打印机,开主机再打开显示器,开外部设备再打开主机,D,1
53,C,"关机时,其次序是（ ）。",和加电相反,和加电一致,任意,先关显示器后关主机,A,1
54,C,CPU不包含（ ）部分。,内部存储单元,控制单元,输出单元,运算逻辑单元,C,0
55,C,CPU由哪三部分组成（ ）。,运算器、控制器、寄存器,运算器、控制器、主存储器,数据寄存器、存储器、运算器,主存储器、辅存储器、控制器,A,0
56,C,一部典型的PC机硬件主要配置有哪些？（ ）,主机、鼠标、显示器和打印机。,主机、键盘、显示器和打印机。,主机、键盘、显示器和服务器。,主机、键盘、鼠标、显示器和扫描仪。,B,1
57,C,显示器、（ ）等是计算机的输出设备。,绘图仪,键盘,软盘,硬盘,A,0
58,C,内存储器可与CPU（ ）交换信息。,不,直接,部分,间接,B,1
59,C,计算机主机由运算器、控制器和（ ）组成。,CPU,磁盘,主存储器,累加器,C,1
60,C,Word字处理软件属于（ ）软件。,系统,应用,管理,多媒体,B,0
61,C,在EXCEL中，如果单元格中的输入内容以（ ）开始，输入的是公式。,=,!,*,^,A,1
62,C,"WORD中,当保存工作文档时，工作文档被存入（ ）",文件,活动单元,范围,扩充内存,A,1
63,C,Word中，保存文档的命令出现在（ ）菜单中。,保存,编辑,文件,格式,C,0
64,C,Windows是一种（ ）的操作系统。,多任务、多用户,支持网络、字符界面,图形界面、多用户,多任务、图形界面,D,1
65,C,在word编辑状态下，当前输入的文字显示在（ ）,鼠标光标处,插入点,文件尾部,当前行尾部,B,1
66,C,Excel提供了内部已定义的样式即“常规”样式。有关“样式”的说法中，以下不正确的是（ ）。,所谓“样式”即一组已定义并保存了的格式集合,用户也可以自己创建“样式”,用户可以删除自定义的“样式”,用户也可以删除“常规”样式,D,1
67,C,Excel中，如果单元格B2中为“星期一”，那么向下拖动填充柄到B4，则B4中应为（ ）。,星期一,星期二,星期三,#ref,C,1
68,C,Word中对浮动式对象的文字环绕，以下说法中不正确的是（ ）。,如果要将一个对象放在文字的底下作为页面的背景，可以选择“无环绕型”,如果在当前文档中加一“水印”效果，可以选择“穿越型”，并置“水印”对象于文字的下方,对于嵌入式对象，如果要实现文字环绕，则必须为之加上图文框,四周型文字环绕，页面上为对象留出矩形区域,A,1
69,C,下列叙述中正确的是（ ）,计算机病毒只能传染给可执行文件,计算机软件是指存储在软盘中的程序,计算机每次启动的过程之所以相同，是因为RAM中的所有信息在关机后不会丢失,硬盘虽然装在主机箱内，但它属于外存,D,0
70,C,在Windows中，启动应用程序的正确方法是（ ）,用鼠标双击该应用程序图标,将该应用程序窗口最小化成图标,将该应用程序窗口还原,将鼠标指向该应用程序图标,A,0
71,C,Windows应用环境中鼠标的拖动操作不能完成的是（ ）,当窗口不是最大时，可以移动窗口的位置,当窗口最大时，可以将窗口缩小成图标,当窗口有滚动条时可以实现窗口内容的滚动,可以将一个文件移动(或复制)到另一个目录中去,B,1
72,C,"在计算机领域中，所谓""裸机""是指（ ）",单片机,单板机,不安装任何软件的计算机,只安装操作系统的计算机,C,0
73,C,在Windows下，当一个应用程序窗口被最小化后，该应用程序（ ）,终止运行,暂停运行,继续在后台运行,继续在前台运行,C,0
74,C,在Windows环境下，下列操作中与剪贴板无关的是（ ）,剪切,复制,粘贴,删除,D,0
75,C,下列各项中，不属于多媒体硬件的是（ ）,声卡,光盘驱动器,显示器,多媒体制作工具,D,0
76,C,"在Word中""打开""文档的作用是（ ）",将指定的文档从内存中读入，并显示出来,为指走的文档打开一个空白窗口,将指定的文档从外存中读入，并显示出来,显示并打印指走文档的内容,C,1
77,C,"Word 2003的""文件""命令菜单底部显示的文件名所对应的文件是（ ）",当前被操作的文件,当前已经打开的所有文件,最近被操作过的文件,扩展名是.doc的所有文件,C,1
78,C,"在Word的编辑状态，执行编辑命令""粘贴""后（ ）",将文档中被选择的内容复制到当前插入点处,将文档中被选择的内容移到剪贴板,将剪贴板中的内容移到当前插入点处,将剪贴板中的内容拷贝到当前插入点处,D,0
79,C,"当选定文件或文件夹后，不将文件或文件夹放到""回收站""中，而直接删除的操作是（ ）",按Delete（Del）键,"用鼠标直接将文件或文件夹拖放到""回收站""中",按Shift＋Delete（Del）键,"用""我的电脑""或""资源管理器""窗口中""文件""菜单中的删除命令",C,0
80,C,"在Windows中，不能进行打开""资源管理器""窗口的操作是（ ）","用鼠标右键单击""开始""按钮","用鼠标左键单击""任务栏""空白处","用鼠标左键单击""开始""菜单中""程序""下的""Windows资源管理器""项","用鼠标右键单击""我的电脑""图标",B,1
81,C,"在Windows的""资源管理器""窗口中，如果想一次选定多个分散的文件或文件夹，正确的操作是 （ ）",按住Ctrl键，用鼠标右键逐个选取,按住Ctrl键，用鼠标左键逐个选取,按住Shift键，用鼠标右键逐个选取,按住Shift键，用鼠标左键逐个选取,B,1
82,C,在Word的编辑状态，设置了标尺，可以同时显示水平标尺和垂直标尺的视图方式是 （ ）,普通方式,页面方式,大纲方式,全屏显示方式,B,0
83,C,Word主窗口的标题栏最右边显示的按钮是（ ）,最小化按钮,还原按钮,关闭按钮,最大化按钮,C,0
84,C,在Word的哪种视图方式下，可以显示分页效果（ ）,普通,大纲,页面,主控文档,C,0
85,C,进入WORD的编辑状态后，进行中文标点符号与英文标点符号之间切换的快捷键是 （ ）,Shift+空格,Shift+Ctrl,Shift+.,Ctrl+.,D,0
86,C,在word的编辑状态，被编辑文档中的文字有“四号”、“五号”、“16”磅、“18”磅四种，下列关于所设定字号大小的比较中，正确的是（ ）,“四号”大于“五号”,“四号”小于“五号”,“16”磅大于“18”磅,字的大小一样，字体不同,A,0
87,C,在Windows中，当一个窗口已经最大化后，下列叙述中错误的是 （ ）,该窗口可以被关闭,该窗口可以移动,该窗口可以最小化,该窗口可以还原,B,0
88,C,在Word 2010编辑状态，包括能设定文档行间距命令的选项卡是（ ）,“页面设置”选项卡,“字体”选项卡,“段落”选项卡,“样式”选项卡,C,1
89,C,计算机中对数据进行加工与处理的部件，通常称为（ ）,运算器,控制器,显示器,存储器,A,0
90,C,存储容量1GB等于（ ）,1024B,1024KB,1024MB,1000MB,C,0
91,C," ""32位微型计算机""中的32是指 （     ）。",微机型号,内存容量,存储单位,机器字长,D,0
92,C, Word中项目编号的作用是（     ）。,为每个标题编号,为每个自然段编号   ,为每行编号 ,以上都正确 ,D,0
93,C, 不同的计算机，其指令系统也不相同，这主要取决于（     ）。,所用的操作系统   ,系统的总体结构,所用的CPU,所用的程序设计语言,C,0
94,C, 计算机之所以能实现自动连续运算，是由于采用了（     ）原理。 ,布尔逻辑　,存储程序 ,数字电路,集成电路 ,B,0
95,C, 某单位的人事档案管理程序属于（     ）。 ,工具软件　,应用软件　　,系统软件　,字表处理软件 ,B,0
96,C, 要把插入点光标快速移到Word文档的头部，应按组合键（     ）。,Ctrl+PageUp ,Ctrl+↓,Ctrl+Home,Ctrl+End,C,1
97,C,在word中，复制对象后信息被（     ）。,保留在内存，可以被粘贴无数次,保留在内存，可以被粘贴1次,保留在剪贴板，可以被粘贴无数次,保留在剪贴板，可以被粘贴1次,C,1
98,C,在Word中编辑某一文档，单击该文档窗口的“最小化”按钮后（     ）。,不显示该文档内容，但未关闭该文档,该窗口和文档都被关闭,该文档未关闭，且继续显示,该窗口未关闭，但文档被关闭,A,0
99,C,"""减少缩进量""和""增加缩进量""调整的是(      )",全文的左缩进,右缩进,选定段落的左缩进,所有缩进,C,0
100,C,(      )控制面版会显示从创建或打开某个文档以来在该文档中所做的所有行为及步骤，并可以撤消一步或多步操作。,历史记录,HTML,行为,参考,A,1
101,C,（     ）不是计算机病毒的特点。,传染性,潜伏性 , 偶然性,破坏性,C,0
102,C,（     ）特点是处理的信息数据量比较大而数值计算并不十分复杂。,工程计算 ,数据处理,自动控制  ,实时控制,B,1
103,C,“E-mail”一词是指(      )。,电子邮件,一种新的操作系统,一种新的字处理软件,一种新的数据库软件,A,0
104,C,“冯?诺依曼计算机”的体系结构主要分为（     ）五大组成。,外部存储器、内部存储器、CPU、显示、打印,输入、输出、运算器、控制器、存储器,输入、输出、控制、存储、外设 ,都不是,B,1
105,C,“计算机辅助（     ） ”的英文缩写为CAM。,制造 ,设计,测试 ,教学,A,0
106,C,Word的“文件”菜单中“关闭”命令的意思是（     ）。,关闭WORD窗口连同其中的文档窗口，并回到Windows桌面　,关闭当前文档窗口，并退出Windows,关闭WORD窗口连同其中的文档窗口，退到DOS状态下,关闭当前文档窗口，不关闭WORD应用程序窗口,D,1
107,C,PowerPoint 2010的“动画”菜单中不包括下列有关动画设置的选项(      ),计时,动画效果,动画预览,幻灯片切换,D,0
108,C,1946年第一台计算机问世以来，计算机的发展经历了4个时代，它们是（     ）。,低档计算机、中档计算机、高档计算机、手提计算机,微型计算机、小型计算机、中型计算机、大型计算机,组装机、兼容机、品牌机、原装机,电子管计算机、晶体管计算机、小规模集成电路计算机、大规模及超大规模集成电路计算机,D,1
109,C,1946年世界上有了第一台电子数字计算机，奠定了至今仍然在使用的计算机（     ）。,外型结构,总线结构 ,存取结构  ,体系结构,D,0
110,C,1字节表示（     ）位。,1,4,8,10,C,0
111,C,4个字节是(      )个二进制位。,16,32,48,64,B,0
112,C,Access是一种（     ）数据库管理系统。,发散型,集中型 ,关系型,逻辑型,C,0
113,C,Cache的中文译名是(      ),缓冲器,只读存储器,可编程只读存储器,高速缓冲存储器,D,0
114,C,CAD是计算机的主要应用领域，它的含义是（     ）。,计算机辅助教育    ,计算机辅助测试,计算机辅助设计,计算机辅助管理,C,0
115,C,CAI是计算机的应用领域之一，其含义是(      ),计算机辅助设计,计算机辅助制造,计算机辅助测试,计算机辅助教学,D,0
116,C,CGA、EGA和VGA标志着（     ）的不同规格和性能。 ,打印机　,存储器 ,显示器　,硬盘 ,C,0
117,C,CPU不能直接访问的存储器是(      ),外存储器,内存储器,ROM,RAM,A,0
118,C,DRAM存储器的中文含义是（     ）。 ,静态随机存储器,动态随机存储器,静态只读存储器,动态只读存储器,B,0
119,C,E-mail地址:wendiluo@yahoo.com中收件人的帐号是（     ）。,yahoo.com ,yahoo,wendiluo ,com,C,0
120,C,E-mail地址格式为：usename@hostname，其中usename称为（     ）,用户名,某网站名,某网络公司名,主机域名,A,0
121,C,ENTER键是（     ）。 ,输入键,回车换行键,空格键,换档键 ,B,0
122,C,Excel的“条件格式”功能，用于对选定区域各单元格中的数值是否在指定范围内动态地为单元格自动设置格式，“条件格式”对话框提供最多(      )个条件表达式。,2,3,4,5,B,1
123,C,Excel中，如果要选取多个连续的工作表，可单击第一个工作表标签，然后按(      )键单击最后一个工作表标签。,Ctrl,Shift,Alt,Tab,B,1
124,C,Excel的单元格名称相当于程序语言设计中的变量，可以加以引用。引用分为相对引用和绝对引用，一般情况为相对引用，实现绝对引用需要在列名或行号前插入符号(      ),“!”,“:”,“&”,“$”,D,1
125,C,Excel的工作表中，若要对一个区域中的各行数据求和，应使用(      )函数，或选用工具栏的Σ按钮进行运算。,average,sum,sun,sin,B,1
126,C,Excel的工作表中输入数据结束时，要取消输入数据，可按Esc键或用鼠标单击编辑栏的(      )按钮。,×,√,Esc,Tab,A,1
127,C,Excel的工作表中输入数据结束时，要确认输入数据，按回车、Tab键或用鼠标单击编辑栏的(      )按钮均可。,Esc,√,×,Tab,B,1
128,C,Excel数据列表的应用中，(      )字段进行汇总。,只能对一个,只能对两个,只能对多个,可对一个或多个,D,0
129,C,Excel数据列表的应用中，分类汇总适合于按(      )字段进行分类。,一个,两个,三个,多个,A,1
130,C,Excel中，加上填充色是指(      ),单元格边框的颜色,单元格中字体的颜色,单元格区域中的颜色,不是指颜色,C,0
131,C,Excel中，某些数据的输入和显示是不一定完全相同的，当需要计算时，一律以(      )为准。,输入值,显示值,平均值,误差值,A,1
132,C,Excel中，如果工作表被删除，则(      )用“撤销”按钮恢复。,可以,不可以,不一定可以,不一定不可以,B,1
133,C,Excel中，如果要选取多个非连续的工作表，则可通过按(      )键单击工作表标签选取。,Ctrl,Shift,Alt,Tab,A,1
134,C,Excel中，如果移动或复制了工作表，则(      )用“撤销”按钮取消操作。,可以,不可以,不一定可以,不一定不可以,B,1
135,C,Excel中，如果在多个选中的工作表（工作表组）中的一个工作表任意单元格输入数据或设置格式，则在工作表组其它工作表的相同单元格出现(      )数据或格式。,不同的,不一定不同的,相同的,不一定相同的,C,1
136,C,Excel中，用户可以设置输入数据的有效性，在“数据有效性”选项卡可设置数据输入提示信息和输入错误提示信息，其作用是限定输入数据的(      ),小数的有效位,类型,范围,类型和范围,D,1
137,C,Excel中的“引用”可以是单元格或单元格区域，引用所代表的内容是(      ),数值,文字,逻辑值,以上值都可以,D,1
138,C,Excel中可以创建嵌入式图表，它和创建图表的数据源放置在(      )工作表中。,不同的,相邻的,同一张,另一工作簿的,C,1
139,C,Excel中使用公式，当多个运算符出现在公式中时，由高到低各运算符的优先级是(      ),括号、%、^、乘除、加减、&、比较符,括号、%、^、乘除、加减、比较符、&,括号、^、%、乘除、加减、&、比较符,括号、^、%、乘除、加减、比较符、&,A,1
140,C,Excel中文版有四种数据类型，分别是(      ),文本、数值(含日期)、逻辑、出错值,文本、数值(含日期时间)、逻辑、出错值,文本、数值(含时间)、逻辑、出错值,文本、数值(含日期时间)、逻辑、公式,A ,1
141,C,Hacker是指那些私闯非公开的机构网络进行破坏的人，它的中文俗称是（     ）。,朋克,海客,网虫,黑客,D,0
142,C,HTML的中文名是（    ）。,超连接,超文本,超文本传输协议,超文本标记语言,D,0
143,C,Http://www.panda.com.cn代表国家区域名的是（     ）。,www,cernet,edu ,cn,D,0
144,C,http是一种(      ),高级程序设计语言,域名,超文本传输协议,网址,C,0
145,C,I/O接口位于（     ）。 ,主机和I/O设备之间,主机和总线之间 ,总线和I/O设备之间　,CPU与存储器之间 ,C,0
146,C,IE浏览器的收藏夹是一个专用文件夹，其中收藏的是（     ）。,网页的链接         ,网页的全部内容,网页的部分内容,网页的内容和网页的链接,A,0
147,C,IE软件是（     ）。,MIS ,唯一的上网工具,一种Web页的浏览器,收发电子邮件的工具,C,0
148,C,Internet服务提供商的简称是（     ）。,ASP,ISP  ,USP ,NSP,B,0
149,C,Internet起源于（     ）。 ,美国,英国,德国 ,澳大利亚,A,0
150,C,Internet上，访问Web信息时用的工具是浏览器。下列（     ）就是目前常用的Web浏览器之一,Internet Explorer ,Outlook Expres,Yahoo,FrontPage,A,0
151,C,Internet上有许多应用，其中主要用来浏览网页信息的是（     ）。,E-mail ,FI?   ,Telnet,WWW,D,0
152,C,Internet是（     ）类型的网络。,局域网,城域网,广域网,企业网,C,0
153,C,Internet的通信协议是(      )。,X.25,CSMA/CD,TCP/IP,CSMA,C,0
154,C,Internet网是目前世界上第一大互联网，它起源于美国，其雏形是（     ）,NCFC网,CERNET网,GBNET网  ,ARPANET网 ,D,0
155,C,Internet域名中的域类型“com”代表单位的性质一般是（     ）。,通信机构,网络机构  ,组织机构,商业机构,D,0
156,C,Internet在中国被称为因特网或（     ）。,网中网,国际互联网 ,国际联网,计算机网络系统,B,0
157,C,Internet中URL的含义是（     ）。,统一资源定位器  ,Internet协议,简单邮件传输协议,传输控制协议,A,0
158,C,Internet最初是由（     ）建立的。,Intel公司 ,Apple公司,Microsoft公司,美国国防部,D,0
159,C,IPTV意思是（     ）。,网络电话,网络电视,无线视频,有线电视,B,0
160,C,IP地址是（     ）。,接入Internet的计算机地址编号,Internet中网络资源的地理位置,Internet中的子网地址,接入Internet的局域网,A,0
161,C,IPv4地址是Internet为每台主机分配的由32位（     ）组成的唯一标识符。,二进制数,八进制数,十六进制数    ,十进制数,A,0
162,C,IP地址是一串难以记忆的数字，人们用域名来代替它，完成IP地址和域名之间转换工作的是（     ）服务器。,DNS,URL,UNIX,ISDN,A,0
163,C,IPv4地址用（     ）个十进制数点分表示的,3,2,4,不能用十进制数表示,C,0
164,C,IPv4地址用4个十进制整数表示时，每个数必须小于（     ）。,128,64,1024,256,D,0
165,C,ISO/OS是（     ）。,开放系统互连参考模型 ,TCP/IP协议,网络软件 ,网络操作系统,A,0
166,C,ISP指的是（     ）。,因特网的专线接入方式 ,因特网服务提供商,拨号上网方式,因特网内容供应商,B,1
167,C,Microsoft  Office中自带的收发电子邮件的软件名称是(      )。,Foxmail,Access,Frontpage,Outlook,D,0
168,C,Modem实现了基于（     ）的计算机与基于模拟信号的电话系统之间的连接,模拟信号,电信号,数字信号,光信号,C,0
169,C,Outlook Express可用来（     ）邮件。,接收,发送,接收和发送,以上均错,C,0
170,C,Pentium 处理器属于Intel公司的（     ）处理器。,第一代 ,第三代,第四代 ,第五代,D,1
171,C,PowerPoint 2010演示文稿文件的扩展名是(      ),docx,pptx,ppt,xlsx,B,0
172,C,PowerPoint 2010主窗口水平滚动条的下侧有四个显示方式切换按钮：“普通视图”、“阅读视图”、“幻灯片放映”和(      ),全屏显示,主控文档,幻灯片浏览视图,文本视图,C,1
173,C,ROM是(      ),随机存储器,只读存储器,高速缓冲存储器,顺序存储器,B,0
174,C,TCP/IP协议是Internet中计算机之间进行通信时必须共同遵循的一种(      ),通信规则,信息资源,软件系统,硬件系统,A,1
175,C,Windows“系统工具”中的“磁盘空间管理”，主要具有(      )功能。,增加硬盘的存储空间,备份文件,修复已损坏的存储区域,加快程序运行速度,A,1
176,C,Windows“系统工具”中的“磁盘扫描程序”，主要具有(      )功能。,增加硬盘的存储空间,备份文件,修复已损坏的存储区域,加快程序运行速度,C,1
177,C,Windows“系统工具”中的“磁盘碎片整理”，主要具有(      )功能.　,增加硬盘的存储空间,备份文件,修复已损坏的存储区域,加快程序运行速度,D,1
178,C,Windows中改变日期时间的操作能(      )。,在系统设置中设置,只能在“控制面板”中双击“日期/时间”,只能双击“任务栏”右侧的数字时钟,不止一种方法可改变它,D,1
179,C,Windows中屏幕保护程序可自行设置，并可(      ),设置密码，但不能设置等待时间,设置等待时间，但不能设置密码,设置密码和设置等待时间,A、B都不能,C,1
180,C,Windows桌布上的“背景”、“屏幕保护程序”、“外观”三者是(      ),“背景”和“外观”是同一含义,屏幕保护程序”、“外观”具有同一含义,三者均是同一含义,三者均有不同的含义,D,1
181,C,个人计算机内存的大小主要由（     ）决定。,RAM 芯片的容量    ,软盘的容量,硬盘的容量    ,CPU 的位数,A,0
182,C,个人计算机属于（     ）。 ,小巨型机,中型机　 ,小型机　,微机 ,D,0
183,C,构成计算机物理实体的部件被称为(      ),计算机系统,计算机硬件,计算机软件,计算机程序,B,0
184,C,关于Internet的概念叙述错误的是（     ）。,Internet即国际互连网络 , Internet具有网络资源共享的特点,在中国称为因特网  ,Internet是局域网的一种,D,0
185,C,"关于Windows 的文件组织结构, 下列说法中错误的一个是(      )",每个子文件夹都有一个“父文件夹”,每个文件夹都可以包含若干“子文件夹”和文件,每个文件夹都有一个名字,磁盘上所有文件夹不能重名,D,0
186,C,关于幻灯片页面版式的叙述，不正确的是(      ),幻灯片的大小可以改变,幻灯片应用模板一旦选定，就不可改变,同一演示文稿中允许使用多种版式,同一演示文稿不同幻灯片的配色方案可以不同,B,0
187,C,光盘驱动器通过激光束来读取光盘上的数据时，光学头与光盘（     ）。 ,直接接触　,不直接接触 ,播放VCD时接触　,有时接触有时不接触 ,B,0
188,C,组合键 （     ）可以打开“开始”菜单。 ,<Ctrl> +<O> ,<Ctrl> +<Esc> ,<Ctrl>+<空格键> ,<Ctrl>+<Tab> ,B,0
189,C,互联设备中Hub称为（     ）。   ,网卡,网桥 ,服务器 ,集线器,D,0
190,C,互联网络上的服务都是基于一种协议，WWW服务基于(      )协议。,SMIP,HTTP,SNMP,TELNET,B,1
191,C,幻灯片的填充背景不可以是　(      ),调色板列表中选择的颜色,自己通过三原色或亮度、色调等调制颜色,三种以上颜色的过渡效果,磁盘上的图片,C,1
192,C,幻灯片中使用了某种模板以后。若需进行调整，则(      )说法是正确的。,确定了某种模板后就不能进行调整了,确定了某种模板后只能进行清除，而不能调整模板,只能调整为其他形式的模板，不能清除摸板,既能调整为其他形式的模板，又能清除模板,D,1
193,C,几年前一位芬兰大学生人在Internet 上公开发布了一种免费操作系统（     ），经过许多人的努力，该操作系统正不断完善，并被推广应用。,Windows XP  ,Novell  ,UNIX ,Linux,D,1
194,C,计算机病毒是(      ),一种人为特制的计算机程序,计算机系统自生的,可传染疾病给人体的病毒,主机发生故障时产生的,A,0
